id_censo,fuente,tipo_caso,perna02_r,perna02_r_imp,ci,docextpais,docexttipo,docextnro,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,fecha_nacimiento,id_sexo
CEN000001,censo2023,C,UY,UY,50483466,,,,ELISA,MAR,,TORRES,1978-04-10,2
CEN000002,censo2023,C,UY,UY,52751362,,,,MARIA,ELENA,SILVA,,1961-10-11,2
CEN000003,censo2023,C,PY,PY,,600,PAS,Y774492,LAURA,JAVIER,TORRES,,1977-09-12,
CEN000004,censo2023,A,UY,UY,53397433,,,,MATEO,,BENITEZ,,1957-01-30,1
CEN000005,censo2023,A,VE,VE,,862,PAS,E146287,ELISA,ANDREA,,VELAZQUEZ,1967-02-24,2
CEN000006,censo2023,B,UY,UY,45482485,,,,PEDRO,DAMIAN,RODRIGUEZ,,1995-03-09,1
CEN000007,censo2023,A,UY,UY,42548402,,,,LAURA,DAMIAN,RUIZ,,1971-09-29,2
CEN000008,censo2023,B,UY,UY,56265319,,,,ANA,DAMIAN,RODRIGUEZ,,1996-03-27,2
CEN000009,censo2023,A,UY,UY,54566514,,,,PAOLA,INES,PEREIRA,,1957-12-06,2
CEN000010,censo2023,A,UY,UY,52252186,,,,SANTIAGO,LUIS,VELAZQUEZ,,1994-10-26,1
CEN000011,censo2023,A,AR,AR,,032,PAS,R161528,ELISA,DAMIAN,VELAZQUEZ,,1976-03-23,2
CEN000012,censo2023,A,VE,VE,,862,PAS,V447412,MARIA,,TORRES,,1986-02-13,2
CEN000013,censo2023,A,BR,BR,,076,PAS,R740698,PEDRO,,,,1992-03-02,1
CEN000014,censo2023,C,UY,UY,36532307,,,,VALENTINA,AGUSTINA,SILVA,,1976-10-06,2
CEN000015,censo2023,C,UY,UY,37551029,,,,FLORENCIA,ANDREA,ALONSO,,1962-07-04,2
CEN000016,censo2023,A,UY,UY,43384782,,,,GONZALO,ELENA,ACOSTA,,1964-12-06,1
CEN000017,censo2023,A,UY,UY,41398681,,,,NICOLAS,BELEN,SUAREZ,,1988-10-24,1
CEN000018,censo2023,A,UY,UY,48238680,,,,LEONARDO,,MENDES,,1973-04-09,1
CEN000019,censo2023,A,UY,UY,36840101,,,,THIAGO,DAMIAN,SUAREZ,PEREZ,,1
