id_unico,id_pais_documento,id_tipo_documento,documento,nombres,apellidos,fecha_nacimiento,id_sexo
RRAA000001,858,1,50483466,ELISA MAR,VELAZQUEZ TORRES,1978-04-10,2
RRAA000002,858,1,52751362,MARIA ELENA,SILVA,1961-10-11,2
RRAA000003,600,9,Y774492,LAURA JAVIER,TORRE,1977-09-12,2
RRAA000004,858,1,53397433,MATEO AGUSTINA,BENITEZ,1957-01-30,1
RRAA000005,862,9,E146287,ELISA ANDREA,PEREZ,1967-02-24,2
RRAA000006,858,1,45482485,PEDR DAMIAN,RODRIGUEZ,1995-03-09,1
RRAA000007,858,1,42548402,LAURA DAMIAN,RUIZ,1971-09-28,2
RRAA000008,858,1,56265319,ANA DAMIAN,RODRIGUEZ,1996-03-27,2
RRAA000009,858,1,54566514,PAOLA INES,PEREIRA,1957-12-06,2
RRAA000010,858,1,52252186,SANTIAGO LUIS,VELAZQUEZ,1994-10-26,1
RRAA000011,032,9,R161528,ELISA DAMIAN,VELAZQUEZ,1976-03-23,2
RRAA000012,862,9,V447412,MARIA EZEQUIEL,TORRES SOSA,1986-02-12,2
RRAA000013,076,9,R740698,PEDRO,RUI,1992-03-02,1
RRAA000014,858,1,36532307,VALENTINA AGUSTINA,SILVA,1976-10-06,2
RRAA000015,858,1,37551029,FLORENCIA ANDREA,ALONSO,1962-07-04,2
RRAA000016,858,1,43384782,GONZALO ELENA,ACOSTA,1964-12-06,1
RRAA000017,858,1,41398681,NICOLAS BELEN,SUAREZ,1988-10-24,1
RRAA000018,858,1,48238680,LEONARDO,MENDES CORREA,1973-04-09,1
RRAA000019,858,1,36840101,THIGAO DAMIAN,SUAREZ PEREZ,,1
RRAA000020,858,1,47487568,ELISA AGUSTINA,SILVA RUIZ,1971-05-19,2
RRAA000021,858,1,32289779,MICAELA CARLOS,ALONS,1979-10-18,2
RRAA000022,858,1,40180048,JOAQUIN DAMIAN,RUIZ TORRES,1997-12-16,1
RRAA000023,858,1,51073864,MATEO ELENA,MENDES,1954-12-21,1
RRAA000024,858,1,49239275,FACUND JAVIER,GOME,1981-06-15,1
RRAA000025,858,1,55189398,NICOLAS EZEQUIEL,GOMEZ,1972-09-11,1
RRAA000026,862,9,E575004,RUBEN BELEN,PEREZ,1976-06-18,1
RRAA000027,858,1,41709313,JULIETA CARLOS,GOMEZ,1989-05-01,2
RRAA000028,858,1,56120831,CARLA BEATRIZ,RUIZ LOPEZ,1971-08-06,2
RRAA000029,858,1,45448112,THIAGO P,RAMIREZ VELAZQUEZ,1955-01-30,1
RRAA000030,858,1,,PEDRO MAR,PERIERA VELAZQUEZ,1969-02-02,1
RRAA000031,032,9,A285907,CARLA LUIS,PEREIRA BENITEZ,1983-07-29,2
RRAA000032,858,1,52640442,ANDRES NOELIA,CORREA RUIZ,1961-07-08,1
RRAA000033,858,1,36143960,ELISA BEATRIZ,ACOSTA LOPEZ,1979-01-19,2
RRAA000034,858,1,38417468,MARIA LUIS,VELAZQUEZ,1950-05-14,2
RRAA000035,858,1,36567825,INES PAULA,SOS RAMIREZ,1989-10-24,2
RRAA000036,858,1,56476369,MARIA L,BENIETZ,2004-11-21,2
RRAA000037,858,1,30779367,MARTINA ANDREA,PEREZ,1968-01-05,2
RRAA000038,076,9,R017238,ANA ELENA,SUARE,1970-04-02,2
RRAA000039,858,1,57854867,SANTIAGO EZEQUIEL,LOPEZ LOPEZ,1969-04-02,1
RRAA000040,858,1,55457480,JUA P,RUIZ PEREZ,,1
RRAA000041,858,1,39296223,GONZALO EZEQUIEL,MENDES,1950-03-10,1
RRAA000042,858,1,33195533,FACUNDO INES,DIAZ,1981-11-27,1
RRAA000043,032,9,R034438,SANTIAGO I,MENDES,1967-06-12,1
RRAA000044,858,1,39851077,NICOLAS BEATRIZ,PEREIRA MENDES,1980-03-02,1
RRAA000045,858,1,55856074,RUBEN ALEJANDRO,LOPEZ,,1
RRAA000046,858,1,38164679,SEBASTIAN DAMIAN,SILVA DIAZ,1950-01-02,1
RRAA000047,858,1,40669875,LAURA ALEJANDRO,RODRIGUEZ,1971-04-18,2
RRAA000048,858,1,42226844,SOFIA JAVIER,BENITEZ,1969-02-26,2
RRAA000049,862,9,E137049,MICAELA INES,FERNNADEZ ALONSO,1959-12-28,2
RRAA000050,858,1,59441986,DIEGO CARLOS,MARTINEZ GOMEZ,,1
RRAA000051,858,1,48690532,ANA LUIS,RODRIGUEZ,1995-04-03,2
RRAA000052,858,1,30177685,SOFIA M,TORRES DIAZ,1957-03-01,2
RRAA000053,862,9,E513044,FACUNDO ANDREA,VELAZQUEZ,1955-01-27,1
RRAA000054,858,1,35398262,PEDRO C,CORREA,1963-07-23,1
RRAA000055,862,9,V746257,MATEO A,VELAZQUEZ,1995-08-08,1
RRAA000056,858,1,36900008,JULITEA LUIS,SILVA,1996-01-12,2
RRAA000057,858,1,48162638,ELISA AGUSTINA,RUIZ,1975-07-27,2
RRAA000058,858,1,48839734,JOAQUIN CARLOS,CORREA,1985-08-04,1
RRAA000059,858,1,37318903,SANTIAGO PAULA,RUIZ,1990-12-03,1
RRAA000060,858,1,48932464,FLORENCIA BEATRIZ,FERNADNEZ RODRIGUEZ,1997-10-07,2
RRAA000061,858,1,50992431,RUBEN PAULA,RAMIREZ,2003-02-23,1
RRAA000062,858,1,34509020,SANTIAGO PAULA,CORREA PEREZ,1976-07-09,1
RRAA000063,600,9,Y320812,THIAGO AGUSTINA,VEALZQUEZ,1983-05-06,1
RRAA000064,858,1,52897748,FLORENCIA NOELIA,RODRIGUEZ,2003-05-11,2
RRAA000065,076,9,B749527,FACUNDO CARLOS,GOMEZ PEREZ,1990-03-28,1
RRAA000066,858,1,35138132,RUBEN INES,SILVA,2004-07-21,1
RRAA000067,858,1,31003733,ANDRES D,PEREIRA,1988-03-16,1
RRAA000068,858,1,56379070,RUBEN ELENA,PEREZ,1953-09-10,1
RRAA000069,858,1,33121291,JULIETA D,RUIZ,1995-08-14,2
RRAA000070,858,1,48269169,PEDRO ELENA,BENITEZ PEREIRA,1973-08-19,1
RRAA000071,858,1,56994733,JULIETA NOELIA,RAMIREZ PEREZ,1968-11-03,2
RRAA000072,858,1,42175880,CARLA DAMIAN,RUIZ LOPEZ,1978-02-26,2
RRAA000073,858,1,34978275,SOIFA PAULA,RAMIREZ PEREIRA,1953-03-09,2
RRAA000074,858,1,35316480,MARTINA BELEN,VELAZQUEZ,1986-09-09,2
RRAA000075,600,9,Y066205,NICOLAS BELEN,TORRES PEREZ,2000-02-29,1
RRAA000076,858,1,34131820,GONZALO EZEQUIEL,GOMEZ,1989-01-03,1
RRAA000077,858,1,46809610,SANTIAGO NOELIA,SOSA RAMIREZ,1985-10-07,1
RRAA000078,032,9,A046981,SANTIAGO LUIS,BENITEZ,1993-05-28,1
RRAA000079,858,1,53958058,THIAGO MAR,RAMIERZ,1959-07-31,1
RRAA000080,858,1,48573549,ELISA INES,FERNANDEZ,1988-05-23,2
RRAA000081,032,9,R680633,RUBEN PAULA,FERNANDEZ,1995-01-06,1
RRAA000082,858,1,36879570,VALENTINA PAULA,ALONSO MENDES,1959-01-11,2
RRAA000083,858,1,38948219,PAOLA MAR,MARTINE ALONSO,1960-11-26,2
RRAA000084,858,1,56333224,INES A,ACOSTA,1992-10-15,2
RRAA000085,862,9,V874426,MATEO ELENA,FERNANDEZ ACOSTA,1998-09-13,1
RRAA000086,858,1,43647613,MICAELA BEATRIZ,ACOSTA,1955-06-30,2
RRAA000087,858,1,33885885,MARIA JAVIER,TORRES,1950-03-14,2
RRAA000088,862,9,V276744,SOFIA CARLOS,VELAZQUEZ RUIZ,1964-08-25,2
RRAA000089,076,9,R442273,MICAELA ALEJANDRO,LOPEZ,2002-08-14,2
RRAA000090,862,9,E586269,MARTINA,ALONSO,1966-10-13,2
RRAA000091,858,1,46076657,MATEO B,RUIZ,1963-10-04,1
RRAA000092,858,1,32920479,ELIS NOELIA,MARTINEZ,1975-06-01,2
RRAA000093,858,1,53826065,MTAEO M,MARTINEZ,1956-03-25,1
RRAA000094,858,1,58171103,VALENTINA LUIS,ALONSO,1987-04-16,2
RRAA000095,858,1,31369088,AN DAMIAN,TORRES,1968-07-27,2
RRAA000096,858,1,49113959,JULIETA MAR,GOME,1982-11-04,2
RRAA000097,858,1,38722141,ANA B,VELAZQUEZ LOPEZ,1995-01-21,2
RRAA000098,858,1,47943056,SANTIAGO,BENITEZ,1992-12-27,1
RRAA000099,862,9,E377927,ANDRES ALEJANDRO,RUIZ SILVA,1984-06-20,1
RRAA000100,858,1,46023453,LEONARDO INES,DIAZ,1980-06-24,1
RRAA000101,858,1,51063059,ANA PAULA,RODRIGUEZ,1962-07-27,2
RRAA000102,858,1,54937937,SANTIAGO PAULA,BENITE,2001-03-15,1
RRAA000103,858,1,44681711,ANRDES NOELIA,SUAREZ,1980-10-08,1
RRAA000104,858,1,59245491,MATE J,RAMIREZ DIAZ,1960-08-21,1
RRAA000105,076,9,R135817,INES ANDREA,RODRIGUEZ,1960-10-25,2
RRAA000106,032,9,A408001,FACUNDO ELENA,SOSA,1963-01-19,1
RRAA000107,858,1,39227742,MARTIN JAVIER,TORRES,1955-11-20,1
RRAA000108,858,1,46060705,INES DAMIAN,RUIZ,1969-08-08,2
RRAA000109,858,1,39433475,NICOLAS,FERNANDEZ PEREZ,1950-07-28,1
RRAA000110,858,1,38489235,NICOLA E,DIA BENITEZ,2001-04-12,1
RRAA000111,858,1,37803867,VAELNTINA ANDREA,SILVA MARTINEZ,1963-09-16,2
RRAA000112,858,1,35910540,FACUNDO ALEJANDRO,MARTINEZ,2003-12-26,1
RRAA000113,076,9,R606851,RUBEN P,MARTINEZ RAMIREZ,2001-12-11,1
RRAA000114,858,1,57321918,NICOLAS CARLOS,RUIZ,1988-03-09,1
RRAA000115,858,1,42571323,MRAIA MAR,CORREA,1985-08-17,2
RRAA000116,858,1,39873211,JOAQUIN CARLOS,RAMIREZ,1969-10-29,1
RRAA000117,858,1,35224979,FACUNDO JAVIER,RODRIGUZE CORREA,1985-12-16,1
RRAA000118,032,9,A367544,PAOLA BELEN,GOMZE PEREZ,1954-09-13,2
RRAA000119,076,9,R430290,VALENTINA INES,SUAREZ,1997-03-30,2
RRAA000120,862,9,E632294,MARIA ELENA,LOPEZ,1977-04-19,2
RRAA000121,858,1,49018214,PEDRO EZEQUIEL,GOMEZ SOSA,1997-06-28,1
RRAA000122,862,9,E708690,SOFIA ANDREA,CORREA,1958-08-17,2
RRAA000123,858,1,33020618,SOFIA ALEJANDRO,RAMIERZ,1960-06-12,2
RRAA000124,600,9,Y368598,THIAGO PAULA,PEREIRA RODRIGUEZ,1957-06-27,1
RRAA000125,858,1,31284221,CRALA AGUSTINA,TRORES MENDES,1974-01-02,2
RRAA000126,858,1,40871045,JOAQUIN MAR,PEREZ SILVA,1999-11-26,1
RRAA000127,032,9,R972103,JOAQUIN ALEJANDRO,MENDES,1973-11-06,1
RRAA000128,032,9,R997954,CARLA EZEQUIEL,SUAREZ,1951-01-04,2
RRAA000129,858,1,37947948,NICOLAS JAVIER,ACOSTA,1951-01-23,1
RRAA000130,858,1,40202126,SOFIA DAMIAN,RODRIGUEZ,1961-11-06,2
RRAA000131,858,1,56826327,ANDRES MAR,RUIZ,1996-11-29,1
RRAA000132,858,1,39840134,SANTIAGO DAMIAN,LOPE,1992-05-28,1
RRAA000133,858,1,33020258,THIAGO EZEQUIEL,SUAREZ,1983-11-09,1
RRAA000134,862,9,E050868,THIAGO L,ACOSTA,1954-08-29,1
RRAA000135,858,1,54566736,RUBEN JAVIER,PEREZ DIAZ,1998-04-11,
RRAA000136,032,9,A806769,MICAELA,RUI,2003-03-20,2
RRAA000137,858,1,49750791,MATEO BELEN,PEREIRA SOSA,1963-11-24,1
RRAA000138,032,9,R466708,PEDRO AGUSTINA,LOPEZ RODRIGUEZ,1983-12-14,1
RRAA000139,858,1,43061310,ANDRES CARLOS,PERZE,2002-12-07,1
RRAA000140,858,1,51109239,FACUNDO D,MARTINEZ,2002-07-17,1
RRAA000141,032,9,,JOAQUIN CARLOS,FERNANDEZ,1987-03-21,1
RRAA000142,858,1,34213747,ANDRE AGUSTINA,PEREZ,1979-08-07,1
RRAA000143,858,1,,MATEO AGUSTINA,SILVA,1978-11-01,1
RRAA000144,858,1,32753796,DIEGO BELEN,RUIZ SILVA,1959-02-02,1
RRAA000145,858,1,56349175,RUBEN PAULA,MARTINEZ,1966-11-22,1
RRAA000146,858,1,34924998,MARIA BELEN,SLIVA,1983-11-03,2
RRAA000147,858,1,46585525,MICALEA,VELAZQUEZ,1981-05-06,2
RRAA000148,032,9,A329771,JUAN EZEQUIEL,CORREA ALONSO,1984-05-07,1
RRAA000149,032,9,A363305,MATEO BELEN,SOSA,2003-01-16,1
RRAA000150,858,1,36642092,MICAELA BELEN,PEREZ,1950-10-21,2
RRAA000151,858,1,31698768,NOELIA DAMIAN,BENITEZ,1955-01-17,2
RRAA000152,600,9,P666958,SEBASTIAN DAMIAN,RODRIGUEZ,1991-08-07,1
RRAA000153,858,1,58846718,JOAQUI L,FERNANDEZ SUAREZ,1978-03-04,1
RRAA000154,858,1,48083275,RUBEN PAULA,RODRIGUEZ,,1
RRAA000155,032,9,R716343,MICAELA ANDREA,MARTINEZ,2005-02-22,2
RRAA000156,858,1,39477279,MATEO BEATRIZ,ACOSTA TORRES,,1
RRAA000157,600,9,Y858040,NICOLAS E,CORREA LOPEZ,1983-09-24,1
RRAA000158,858,1,57136613,RUEBN CARLOS,LOPEZ ALONSO,1980-08-26,1
RRAA000159,076,9,B921390,LUCIA,DIAZ MARTINEZ,1974-07-17,2
RRAA000160,858,1,37727327,AN AGUSTINA,ACOSTA SUAREZ,1951-12-05,2
RRAA000161,858,1,47531156,NOELIA,ACOSTA LOPEZ,1959-12-23,2
RRAA000162,858,1,45527053,INES DAMIAN,RUIZ DIAZ,1996-05-25,2
RRAA000163,858,1,55106028,RUBEN PAULA,TORERS,1983-04-03,1
RRAA000164,858,1,35821774,SEBASTIAN A,SOSA,2001-04-01,1
RRAA000165,076,9,B082428,FACUNDO BEATRIZ,MENDES,1982-11-15,1
RRAA000166,600,9,P026397,FLORENCIA CARLOS,FERNNADEZ RODRIGUEZ,2002-04-10,2
RRAA000167,858,1,31918279,MARIA A,TORRES,1961-01-05,2
RRAA000168,862,9,E737579,FACUNDO INES,TORRES,1953-04-28,1
RRAA000169,858,1,59184112,THIAGO JAVIER,BENITEZ,1956-09-08,1
RRAA000170,858,1,38544142,JUAN INES,VELAZQUEZ SILVA,1960-12-05,
RRAA000171,858,1,40143612,PEDRO,MARTINEZ,1991-08-12,1
RRAA000172,858,1,55266347,LEONARDO BELEN,VELAZQUEZ,1984-01-03,1
RRAA000173,858,1,40344510,JULIET BEATRIZ,ACOSTA,1988-02-19,2
RRAA000174,858,1,59839760,MICAELA ANDREA,LOPEZ,1973-04-20,2
RRAA000175,032,9,A159167,PAOLA EZEQUIEL,LOPEZ,1957-04-18,2
RRAA000176,858,1,47766519,NOELIA LUIS,BENITEZ,1997-10-02,2
RRAA000177,858,1,43462103,LUCIA INES,LOPZE RAMIREZ,1987-10-07,2
RRAA000178,858,1,41007685,LUCIA EZEQUIEL,GOMEZ,,2
RRAA000179,858,1,42025482,JULIETA AGUSTINA,TORRES,,2
RRAA000180,032,9,A913454,JULIETA JAVIER,ALONSO,1988-04-25,2
RRAA000181,858,1,41126157,JUAN N,PEREIRA,1973-04-05,1
RRAA000182,858,1,,PEDRO AGUSTINA,VELAZQUEZ ALONSO,2001-05-21,1
RRAA000183,858,1,46456273,SOFIA,ALONSO,1956-02-07,2
RRAA000184,032,9,A719436,MARTIN A,ACOSTA MENDES,1954-11-18,1
RRAA000185,858,1,44448006,GONZAL P,VELAZQUEZ,1980-01-26,1
RRAA000186,858,1,45032313,MATEO INES,TORRES,1984-05-08,1
RRAA000187,858,1,34235351,JOAQUI NOELIA,PEREIRA MENDES,1965-04-22,1
RRAA000188,858,1,42035416,SOFIA ANDREA,FERNANDEZ,1999-07-29,2
RRAA000189,032,9,R161401,INES INES,RODRIGUEZ,1996-06-06,2
RRAA000190,858,1,52748137,CARLA I,SILVA FERNANDEZ,1952-01-24,2
RRAA000191,858,1,40302123,DEIGO E,SILVA,1973-02-12,1
RRAA000192,076,9,B906532,ANA ANDREA,SOSA,1992-07-25,2
RRAA000193,858,1,31791710,ANDRES J,MENDES,1960-12-17,1
RRAA000194,858,1,,JOQAUIN LUIS,PEREZ,1951-09-09,1
RRAA000195,032,9,A383186,SANTIAGO NOELIA,PEREZ,1963-06-15,1
RRAA000196,858,1,59612354,JULIETA ANDREA,TORRES PEREZ,1995-05-21,2
RRAA000197,858,1,52869603,VALENTINA PAULA,PEREIRA,1998-05-02,2
RRAA000198,858,1,39348725,PEDRO PAULA,GOMEZ,2001-10-18,1
RRAA000199,858,1,50953664,MARTIN DAMIAN,SUAREZ LOPEZ,1983-12-28,1
RRAA000200,858,1,45468273,ELISA CARLOS,CORREA VELAZQUEZ,1958-02-10,2
RRAA000201,858,1,40567254,RUBEN CARLOS,RODRIGUEZ,1992-06-06,1
RRAA000202,858,1,38115006,MARTNI PAULA,CORREA,1989-06-15,1
RRAA000203,858,1,56189431,MICAELA CARLOS,ACOSTA,1984-02-25,2
RRAA000204,032,9,R616596,THIAGO P,SUARE RUIZ,1970-04-14,1
RRAA000205,858,1,41526908,SANTIAGO PAULA,ALONSO,2003-02-14,1
RRAA000206,858,1,30685812,VALENTINA NOELIA,TORRES,,2
RRAA000207,858,1,39990330,GONZALO LUIS,FERNANDEZ,1983-08-20,1
RRAA000208,858,1,40266023,INES DAMIAN,RUIZ,1984-07-13,2
RRAA000209,858,1,37119389,INES,LOPE,1952-06-17,2
RRAA000210,858,1,52302912,LARUA D,SUAREZ MENDES,2000-02-13,2
RRAA000211,858,1,37264801,THIAGO,DIAZ MARTINEZ,1965-01-06,1
RRAA000212,858,1,58549148,FAUCNDO CARLOS,SUAREZ,1965-10-02,1
