id_unico,id_pais_documento,id_tipo_documento,documento,nombres,apellidos,fecha_nacimiento,id_sexo
CEN000001,858,1,51599099,PEDRO,SUAREZ,1992-02-29,
CEN000002,032,9,AR376153,MARIA NOELIA,ALONSO MENDEZ,,2
CEN000003,858,1,44467404,LAURA ELENA,SILVA,1974-10-17,2
CEN000004,858,1,54919009,JOAQUIN BELEN,LOPEZ,1979-02-22,1
CEN000005,076,9,BR222261,LUCIA,RAMIREZ,1984-02-24,2
CEN000006,032,9,AR254950,DIEGO PAULA,MENDEZ RODRIGUEZ,1980-12-04,1
CEN000007,858,1,32044429,JOAQUIN JAVIER,PEREZ,1960-06-25,1
CEN000008,858,1,45208091,ANDRES LUIS,SUAREZ,1959-01-03,1
CEN000009,076,9,BR172337,DIEGO LUIS,PEREZ,2001-05-20,1
CEN000010,858,1,54815848,LUCIA,MENDEZ,,2
CEN000011,032,9,AR117178,JULIETA BELEN,RUIZ,1963-06-03,2
CEN000012,858,1,31751075,DIEGO,RAMIREZ,1993-10-26,1
CEN000013,858,1,33286355,MARIA PAULA,CORREA PEREIRA,2002-03-12,2
CEN000014,858,1,54444998,LUCIA PAULA,SILVA,1994-04-12,2
CEN000015,076,9,BR751103,JULIETA BELEN,SUAREZ,1991-10-10,2
CEN000016,858,1,53002513,RUBEN JAVIER,,1962-12-19,1
CEN000017,076,9,BR020655,MATEO NOELIA,PEREIRA RUIZ,2001-03-07,1
CEN000018,858,1,,PEDRO ELENA,LOPEZ,1999-09-22,1
CEN000019,858,1,58658935,VALENTINA DAMIAN,ALONSO LOPEZ,1974-03-21,2
CEN000020,032,9,AR147222,MARTIN INES,MARTINEZ,1956-09-25,1
CEN000021,858,1,36135715,NICOLAS,,1974-08-10,1
CEN000022,862,9,VE090344,LEONARDO NOELIA,ACOSTA,1963-11-12,1
CEN000023,600,9,PY745129,SOFIA BELEN,RUIZ,1997-12-09,2
CEN000024,600,9,PY976134,VALENTINA CARLOS,MARTINEZ,1991-11-09,2
CEN000025,858,1,31962185,RUBEN CARLOS,GOMEZ,1959-06-27,1
CEN000026,858,1,53275672,MARIA CARLOS,ALONSO,1986-02-04,2
CEN000027,858,1,41108176,PAOLA,GOMEZ,1975-04-04,2
CEN000028,858,1,59594246,MICAELA JAVIER,LOPEZ,1981-03-07,2
CEN000029,858,1,43095460,FLORENCIA CARLOS,,,
CEN000030,858,1,42414730,ANDRES LUIS,MENDEZ,1973-11-23,1
CEN000031,858,1,37295831,VALENTINA MAR,GOMEZ,2006-05-30,
CEN000032,862,9,VE955837,RUBEN PAULA,VELAZQUEZ,1969-05-20,
CEN000033,858,1,57994836,FLORENCIA CARLOS,MENDEZ,,2
CEN000034,858,1,40957577,MICAELA PAULA,RAMIREZ,,2
CEN000035,858,1,59033673,CARLA,RAMIREZ FERNANDEZ,1986-12-14,2
CEN000036,858,1,,PEDRO,VELAZQUEZ,,1
CEN000037,858,1,54944345,VALENTINA ELENA,RUIZ,1969-09-28,2
CEN000038,858,1,,ANDRES JAVIER,SILVA SOSA,1977-03-09,1
CEN000039,858,1,59116512,MATEO,BENITEZ SILVA,1989-07-31,1
CEN000040,858,1,42192674,FLORENCIA LUIS,PEREIRA MENDEZ,2004-12-01,2
CEN000041,858,1,34032492,MARTIN DAMIAN,RODRIGUEZ,1988-02-10,1
CEN000042,858,1,30542570,MARTIN ELENA,CORREA,1992-12-19,1
CEN000043,032,9,,PAOLA,CORREA ACOSTA,1989-08-12,2
CEN000044,858,1,52922849,DIEGO JAVIER,TORRES,1953-10-22,1
CEN000045,858,1,50384529,GONZALO CARLOS,,2000-11-29,1
CEN000046,858,1,31996357,GONZALO BELEN,SOSA,1959-02-19,1
CEN000047,858,1,32868022,RUBEN PAULA,SUAREZ MARTINEZ,1988-01-31,1
CEN000048,858,1,32622074,ANA MAR,SOSA,1955-12-04,2
CEN000049,032,9,AR484706,VALENTINA ELENA,VELAZQUEZ MENDEZ,1970-08-11,2
CEN000050,858,1,36960630,ANDRES INES,SOSA,,1
CEN000051,858,1,52731016,JUAN PAULA,ACOSTA,1958-06-20,1
CEN000052,858,1,,MARTIN,,2005-05-18,1
CEN000053,858,1,37643823,SOFIA INES,LOPEZ,1972-07-04,2
CEN000054,858,1,41725781,CARLA PAULA,FERNANDEZ,1976-05-04,2
CEN000055,858,1,47725938,MATEO MAR,TORRES,1998-01-05,1
CEN000056,858,1,39230828,FLORENCIA ELENA,RAMIREZ PEREIRA,1963-09-15,2
CEN000057,600,9,PY188006,RUBEN DAMIAN,ACOSTA,2000-02-09,1
CEN000058,862,9,VE269028,RUBEN BELEN,CORREA MARTINEZ,1973-10-17,1
CEN000059,858,1,47412785,LUCIA,,1952-12-26,2
CEN000060,858,1,33483520,VALENTINA BELEN,GOMEZ BENITEZ,1980-06-18,2
CEN000061,858,1,32001267,ANA ELENA,SUAREZ MARTINEZ,1991-05-22,2
CEN000062,858,1,40501096,LUCIA CARLOS,GOMEZ,1968-03-30,2
CEN000063,858,1,30565825,NICOLAS,MARTINEZ,1966-04-09,1
CEN000064,858,1,40847838,DIEGO MAR,ACOSTA,1985-10-19,1
CEN000065,858,1,42193611,JOAQUIN ELENA,PEREIRA PEREZ,1998-01-10,1
CEN000066,858,1,37498635,JOAQUIN DAMIAN,RAMIREZ RUIZ,2002-11-23,1
CEN000067,076,9,BR641618,NICOLAS BELEN,SUAREZ,1974-10-06,1
CEN000068,858,1,32251833,JUAN INES,,1959-06-11,1
CEN000069,858,1,,PEDRO INES,LOPEZ,1962-07-09,1
CEN000070,858,1,,ANDRES PAULA,ACOSTA,1982-12-09,1
CEN000071,600,9,PY248276,DIEGO MAR,FERNANDEZ,1968-12-07,1
CEN000072,858,1,58744581,MARTIN PAULA,VELAZQUEZ,1961-02-17,1
CEN000073,858,1,53171504,LAURA PAULA,RAMIREZ,1990-02-03,2
CEN000074,858,1,33090859,MARTIN CARLOS,LOPEZ,1994-04-13,
CEN000075,858,1,35014336,ANDRES MAR,PEREIRA,1969-02-16,1
CEN000076,858,1,40646958,FLORENCIA MAR,MARTINEZ,1968-10-17,2
CEN000077,858,1,31855039,LUCIA JAVIER,VELAZQUEZ DIAZ,1981-04-01,2
CEN000078,600,9,PY575986,JUAN JAVIER,SOSA,1961-02-24,1
CEN000079,858,1,45682287,JOAQUIN INES,LOPEZ,1974-08-19,1
CEN000080,858,1,59827921,FLORENCIA BELEN,VELAZQUEZ,1962-09-26,2
CEN000081,858,1,57846019,LUCIA JAVIER,MARTINEZ VELAZQUEZ,1956-12-29,2
CEN000082,032,9,,PEDRO LUIS,VELAZQUEZ SOSA,1956-01-01,1
CEN000083,858,1,41396340,JOAQUIN PAULA,RODRIGUEZ,1953-06-27,
CEN000084,858,1,36791558,LAURA BELEN,MARTINEZ,1968-05-24,
CEN000085,858,1,40137308,GONZALO INES,SILVA,1954-01-10,1
CEN000086,858,1,31796761,LEONARDO ELENA,ACOSTA,,1
CEN000087,858,1,35561638,ANDRES JAVIER,RODRIGUEZ,1982-05-26,1
CEN000088,858,1,32248486,MATEO,RODRIGUEZ,1984-04-25,1
CEN000089,858,1,47945696,JULIETA JAVIER,SOSA MARTINEZ,1991-05-26,2
CEN000090,858,1,32896149,JOAQUIN MAR,RODRIGUEZ,1977-01-05,1
CEN000091,858,1,52669064,LAURA ELENA,SILVA,1968-05-26,2
CEN000092,858,1,45673507,DIEGO DAMIAN,FERNANDEZ TORRES,1980-02-22,1
CEN000093,858,1,44105130,DIEGO MAR,LOPEZ,1961-09-01,1
