id_unico,id_pais_documento,id_tipo_documento,documento,nombres,apellidos,fecha_nacimiento,id_sexo
RRAA000001,858,1,51599099,PEDRO,SUAREZ,1992-02-29,1
RRAA000002,032,9,AR376153,MARIA NOELIA,ALONSO MENDEZ,2001-09-09,2
RRAA000003,858,1,44467404,LAURA ELENA,SILVA,1974-10-17,2
RRAA000004,858,1,54919009,JOAQUIN BELEN,LOPEZ,1979-02-22,1
RRAA000005,076,9,BR222261,LUCIA,RAMIREZ,1984-02-24,2
RRAA000006,032,9,AR254950,DIEGO PAULA,MENDEZ RODRIGUEZ,1980-12-04,1
RRAA000007,858,1,32044429,JOAQUIN JAVIER,PEREZ,1960-06-25,1
RRAA000008,858,1,45208091,ANDRES LUIS,SUAREZ,1959-01-03,1
RRAA000009,076,9,BR172337,DIEGO LUIS,PEREZ MARTINEZ,2001-05-20,1
RRAA000010,858,1,54815848,LUCIA,MENDEZ,1950-01-22,2
RRAA000011,032,9,AR117178,JULIETA BELEN,RUIZ,1963-06-03,2
RRAA000012,858,1,31751075,DIEGO,RAMIREZ,1993-10-26,1
RRAA000013,858,1,33286355,MRAIA PAULA,CORREA PEREIRA,2002-03-12,2
RRAA000014,858,1,54444998,LUCIA PAULA,SILVA,1994-04-12,2
RRAA000015,076,9,BR751103,JULIETA BELEN,SUAREZ,1991-10-10,2
RRAA000016,858,1,53002513,RUBEN JAVIER,BENITEZ SUAREZ,1962-12-19,1
RRAA000017,076,9,BR020655,MATEO NOELIA,PEREIRA RUIZ,2001-03-07,1
RRAA000018,858,1,35794372,PEDRO ELENA,LOPEZ,1999-09-22,1
RRAA000019,858,1,58658935,VALENTINA DAMIAN,AOLNSO LOPEZ,1974-03-20,2
RRAA000020,032,9,AR147222,MARTIN INES,MARTINEZ,1956-09-25,1
RRAA000021,858,1,36135715,NICOLAS,SILVA,1974-08-10,1
RRAA000022,862,9,VE090344,LEONARDO NOELIA,ACOSTA,1963-11-12,1
RRAA000023,600,9,PY745129,SOFIA BELEN,RUIZ BENITEZ,1997-12-09,2
RRAA000024,600,9,PY976134,VALENTINA CARLOS,MARTINEZ,1991-11-08,2
RRAA000025,858,1,31962185,RUBEN CARLOS,GOMEZ,1959-06-27,1
RRAA000026,858,1,53275672,MARIA CARLOS,ALONSO,1986-02-03,2
RRAA000027,858,1,41108176,PAOLA,GOMEZ,1975-04-04,2
RRAA000028,858,1,59594246,MICAELA JAVIER,LOPEZ,1981-03-07,2
RRAA000029,858,1,43095460,FLORENCIA CARLOS,TORRES,1972-01-06,2
RRAA000030,858,1,42414730,ANDRES LUIS,MENDEZ,1973-11-23,1
RRAA000031,858,1,37295831,VALENTINA MAR,GOMEZ,2006-05-30,2
RRAA000032,862,9,VE955837,RUBEN PALUA,VELAZQUEZ,1969-05-20,1
RRAA000033,858,1,57994836,FLORENCIA CARLOS,MENDEZ,1970-06-10,2
RRAA000034,858,1,40957577,MICEALA PAULA,RAMIREZ,1984-04-11,2
RRAA000035,858,1,59033673,CARLA,RAMIREZ FERNANDEZ,1986-12-14,2
RRAA000036,858,1,54075318,PEDRO,VELAZQUEZ,1952-11-20,1
RRAA000037,858,1,54944345,VALENTINA ELENA,RUIZ,1969-09-28,2
RRAA000038,858,1,33656655,ANDRES JAVIER,SILVA SOSA,1977-03-09,1
RRAA000039,858,1,59116512,MATEO,BENITEZ SILVA,1989-07-31,1
RRAA000040,858,1,42192674,FLORENCIA LUIS,PEREIRA MENDEZ,2004-12-01,2
RRAA000041,858,1,34032492,MARTIND AMIAN,RODRIGUEZ,1988-02-10,1
